,nb_ite,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
0,30,0.02,1.7169024032044136,0.04,0.9453775511555363,3.15,0.7940329534370247,0.02,5.324820522167448,2.69,4.4811520717564175,0.02,0.8574561539001504,0.04,0.8118788280172146,2.67,1.046912575950003
1,130,0.1,0.15906198199915061,0.13,0.14505488643356285,2.69,0.13455064546642098,0.08,2.833497654765908,2.67,4.165682183191601,0.1,0.13230012049170803,0.12,0.04273468640172062,2.78,0.06651454815332744
2,230,0.17,0.023076756572859923,0.21,0.022955540927897467,2.66,0.027076406580303303,0.14,3.6294085340998494,2.74,3.270816822683996,0.17,0.03367041267963389,0.21,0.03213463391867988,2.63,0.056970711741897516
3,330,0.25,0.015688420458174333,0.3,0.00896454498835073,2.86,0.01657245188751837,0.2,2.920640311494914,2.77,2.28639406055236,0.24,0.011605708270742454,0.29,0.041696369476755105,2.7,0.011503684251030943
4,430,0.32,0.008063975640163434,0.39,0.008820424809345705,2.68,0.02974602914635094,0.27,3.6695513535347954,2.86,3.107744730369025,0.32,0.009714929646771165,0.38,0.010283225511627681,2.71,0.008800907953395143
5,530,0.39,0.0036622378023776214,0.47,0.005256382346126021,2.76,0.009190904616347062,0.32,2.6400969483228574,2.89,4.979285902202144,0.38,0.004529590438982112,0.46,0.00282532131847546,2.76,0.009706348119463382
6,630,0.47,0.004995875695330376,0.56,0.00594821194080577,2.84,0.010733276255306911,0.39,3.381709481959244,2.7,4.014219516902592,0.46,0.002769314808961454,0.56,0.008241522917242783,2.79,0.002459363495664846
7,730,0.54,0.0034584239355474724,0.65,0.007095488619932855,2.86,0.0027293570433478465,0.45,3.083136315912498,2.92,2.6760414843655647,0.53,0.0024730003427980486,0.64,0.0019273379862744023,2.81,0.002888943411268219
8,830,0.62,0.0012937895666128795,0.74,0.001291972763850957,2.96,0.0017997795491687895,0.51,3.404542286567119,2.93,2.060350710920951,0.6,0.002246688450035883,0.72,0.0024756095955408954,2.87,0.00373465756859277
9,930,0.69,0.002641441901722441,0.83,0.003291367129584799,2.93,0.0009259814055140759,0.58,3.0106229277216157,2.91,3.533040216249892,0.68,0.0012841992443040518,0.81,0.0010185815332562243,2.93,0.0023918724099376122
10,1030,0.77,0.0005548341173614802,0.91,0.0005836567587196306,3.08,0.0013784920603332473,0.64,4.529830417843842,3.0,2.995033787392923,0.77,0.0027061003165078645,0.89,0.0010253427563281293,2.88,0.0017990676020719575
11,1130,0.85,0.0011041592198774985,1.0,0.000851955377457525,3.09,0.003185731450633433,0.71,3.8398291274612504,2.99,3.480049761437207,0.84,0.0012932324457741728,0.97,0.000813273244959678,2.98,0.001357152384731286
12,1230,0.93,0.0004858009189717016,1.09,0.0009738868845605708,2.87,0.0009501104510672321,0.78,2.963814902886508,3.07,2.708190506621307,0.92,0.0015482436347252992,1.06,0.001651954055487881,2.94,0.0009934209703448716
13,1330,0.99,0.00025333643482321476,1.18,0.0004105713425098578,3.01,0.0009541398185259453,0.85,2.7000277189240096,3.17,2.8533881472609908,1.01,0.0010405819398626726,1.14,0.0016000678249689314,2.95,0.0009027083977802164
14,1430,1.09,0.0006155911340174569,1.26,0.00029782703042116057,3.09,0.00043995257239028975,0.92,3.5721521206200664,3.22,3.8426934780690907,1.06,0.0011518048206999865,1.23,0.0010088844870943525,3.01,0.000951621065420305
15,1530,1.19,0.0007489283144215264,1.35,0.0020325164762515337,2.97,0.0006744103930524048,1.01,2.530029404185419,3.25,3.37163157301815,1.16,0.000815949421438944,1.32,0.0005094390323576725,2.98,0.0016531354062370163
16,1630,1.25,0.0006838074332267575,1.44,0.0008151733714393039,3.03,0.00026966801431012045,1.07,3.774112249554328,3.16,4.766762794137062,1.26,0.0008771199092159953,1.4,0.0007080283076602356,3.09,0.0017123674199871707
17,1730,1.35,0.0008388899799150806,1.53,0.0012044263704378722,3.14,0.0005938344770077819,1.12,4.257964831416958,3.3,3.5626663426273177,1.32,0.0001983293721703028,1.48,0.00024288418433533466,3.0,0.0007589792704261634
18,1830,1.43,0.0005268171581218617,1.61,0.0005738213752666255,3.03,0.00021447943686609962,1.18,3.043087515147648,3.36,2.6450193879065287,1.39,0.0006128438990866236,1.59,0.00023997682912950679,3.21,0.0008162295448308043
