,nb_mc,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
0,5,0.06,0.00549270525921024,0.07,0.012048195838728048,2.37,0.03390892936563113,0.07,4.503218259918222,2.2,2.4086498308449444,0.05,0.006378975717887414,0.07,0.002657518653967372,2.18,0.012338387028610143
1,15,0.16,0.038419596077634094,0.2,0.0492756373989998,2.63,0.018232613893685586,0.14,2.3596310370043456,2.66,2.788747248188765,0.16,0.013500900738148757,0.2,0.07335648346201289,2.65,0.016128708487270653
2,25,0.27,0.01697811973778727,0.34,0.012466204371032817,2.68,0.030418448660570547,0.23,3.4771237665412507,2.75,4.143317063082584,0.27,0.03872602408102132,0.33,0.029051795220780007,2.79,0.014808137373449668
3,35,0.38,0.015870721092176004,0.47,0.024065243437891227,2.7,0.021591078799306575,0.32,3.174127744851989,2.73,3.3888328618898895,0.37,0.013573951989684271,0.46,0.037762381475621457,2.73,0.03338424754993875
4,45,0.49,0.028814918366524958,0.59,0.014765185750767924,2.84,0.02575972010856103,0.41,2.769546118322385,2.85,2.9608975339114947,0.48,0.019257609007663844,0.58,0.016411208905196043,2.79,0.026853975102738816
5,55,0.6,0.018469238884956274,0.73,0.01815261478602724,2.88,0.021334314083878522,0.5,3.315251957890666,2.89,3.4565555463452067,0.59,0.020757912064895575,0.71,0.019426262421586543,2.92,0.020741698629645228
6,65,0.72,0.02098170574727932,0.86,0.032501566459200014,2.84,0.015858809850477367,0.6,2.622430417929825,2.99,3.506215082051704,0.7,0.021480097873923753,0.84,0.020300317617697936,2.94,0.026438510732536988
7,75,0.82,0.019246053165619205,0.99,0.028756055780648517,2.99,0.027086906922350405,0.69,3.4788839222730554,3.03,3.231287667560724,0.81,0.012939544824596135,0.96,0.01587744603739277,2.79,0.029088061080107485
8,85,0.94,0.025356488685124034,1.11,0.02477797012235252,2.9,0.017627414337402857,0.77,3.495045255731507,2.96,2.870994656238314,0.91,0.01632863003177574,1.09,0.022039298872336886,2.86,0.024292147832675828
9,95,1.04,0.027287799636596013,1.25,0.02834705410277897,2.91,0.02425841182223564,0.87,3.423861929295387,3.1,3.081457937557511,1.02,0.023671645669698548,1.22,0.036587882096438214,3.14,0.019996289215834892
10,105,1.15,0.027578510228740003,1.38,0.013989285114228962,3.09,0.028390247456836448,0.97,3.9799302217627632,3.16,3.028004291709643,1.13,0.017656074008529574,1.35,0.016876036853376266,2.98,0.016542362877224413
11,115,1.26,0.019988628519034348,1.5,0.016309287073118895,2.99,0.021127708698031836,1.06,3.1212939914466027,3.23,3.7689477908816893,1.23,0.020344704541220532,1.47,0.019029720669088604,2.96,0.0188136699094517
12,125,1.37,0.01280615290005595,1.63,0.017947490513012795,3.23,0.017147218417191523,1.16,4.116210420832906,3.22,3.5053017184084148,1.34,0.01939169256581404,1.6,0.022219041864735358,3.02,0.02198471477656571
13,135,1.49,0.027165169578231108,1.76,0.018532059638758,3.19,0.01866816109541809,1.23,3.198582999159949,3.32,3.8903772632505564,1.44,0.01808538674797979,1.72,0.017152285929197642,2.99,0.02205046875487187
14,145,1.59,0.01727248929998552,1.93,0.019924725502777966,2.99,0.023442260793850412,1.32,3.3324877524901027,3.27,3.532825700498585,1.55,0.016334301832837222,1.86,0.021672524930587828,3.13,0.0326323392730173
15,155,1.7,0.01677239617844679,2.06,0.02604269783526885,3.25,0.024139052820685555,1.41,3.190030979832746,3.39,3.5595346210811254,1.65,0.01897377235246053,1.98,0.018801493748504327,3.24,0.023837069781138066
16,165,1.8,0.015210943153106367,2.15,0.024406707440484298,3.14,0.026383706503826893,1.51,3.182861360692862,3.47,3.662380387019761,1.77,0.023819368184834464,2.11,0.025838114103465943,3.18,0.019054352308952038
17,175,1.91,0.01932310732651799,2.28,0.020629011526507323,3.17,0.02097239404180375,1.6,3.7157546315582812,3.34,3.4866894517930374,1.88,0.017970853107679464,2.23,0.02039107762488134,3.22,0.021038845605369564
18,185,2.04,0.019471290050026985,2.54,0.020545769088329818,3.35,0.031319990104712904,1.69,3.2488368246281296,3.37,3.686715705784852,1.98,0.03343431435696537,2.38,0.023970592516412852,3.19,0.020430772948914887
19,195,2.14,0.02417875032339757,2.54,0.021279696371172344,3.21,0.02304193222014462,1.79,3.37577154852613,3.61,3.391848178146405,2.09,0.01595661629518693,2.49,0.020437304826846286,3.31,0.020585837655990865
