,nb_part,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
0,10,0.36,0.0014506720409833917,0.44,0.0017549071414908468,3.4,0.0011554702113626193,0.32,3.599617854215098,3.38,3.7315340355683295,0.36,0.0011579410616850082,0.5,0.0005060547918745329,3.58,0.0014495478170301723
1,20,0.79,0.0011131094547295107,0.91,0.001011657555887968,3.62,0.002478157863797392,0.63,3.56017747549499,3.29,4.543447907423483,0.73,0.0028171218863613846,0.88,0.001213422406368636,3.26,0.0013751263830119598
2,30,1.12,0.0009097115629894977,1.38,0.0007454582518333197,3.43,0.0009005630868413069,0.94,3.1545723761506315,3.35,3.918536988905301,1.12,0.002139094243507067,1.3,0.0008162144512208868,3.22,0.0012509470994389222
3,40,1.53,0.001034108259489308,1.77,0.001328562990002169,3.48,0.0023857030060630445,1.28,3.354736442006748,3.63,3.3944046539753416,1.49,0.0027787589358631683,1.8,0.002187983834624374,3.68,0.0017668370672613953
4,50,1.92,0.0022138494479803585,2.21,0.0019395711017044447,3.45,0.002597294620445929,1.62,3.780732458808592,3.66,4.256132442810851,1.94,0.0022061780346626847,2.15,0.0009472882474503663,3.43,0.001706602549357683
5,60,2.32,0.0018453619810648784,2.68,0.001477630662861973,4.02,0.001994247063982346,1.94,3.2130723677488855,3.86,3.756009872774806,2.26,0.00201982115610555,2.59,0.0020511994501873094,3.56,0.0015446876330519406
6,70,2.69,0.001220295694224305,3.08,0.0015980645708374144,3.87,0.00212915674680413,2.26,3.5199470393473655,4.52,4.159911706415603,2.66,0.001422823282234198,3.06,0.0009151933053024562,3.7,0.0025256037975398423
7,80,3.08,0.0011481106327903667,3.5,0.001970386654125145,3.72,0.0018638851299431324,2.59,3.211356384049344,4.25,3.204046468717114,3.03,0.001272697254898203,3.44,0.002204361977523317,3.77,0.001976209127774764
8,90,3.5,0.0014605391177830206,3.93,0.0016862148873380298,3.85,0.0024180355321003844,2.92,3.216980862228955,4.1,4.280930627314896,3.37,0.0015414253857610897,3.92,0.001687857688211933,3.95,0.0014215071153038513
9,100,3.85,0.0012564743134919354,4.5,0.001096198240668471,4.85,0.0024847590289011202,3.28,3.5982485389056245,5.06,3.8149468867717475,3.95,0.0013098947582977872,4.48,0.0021802909057284125,4.24,0.0016962115215668483
10,110,4.28,0.0016056072600346188,5.31,0.002654510418719463,4.23,0.0015432987414678739,3.6,3.625821451957603,4.59,3.044171565580619,4.23,0.0013666639318258916,4.72,0.0018718613993254413,4.2,0.0017171494572222395
11,120,4.64,0.002275543467379541,5.47,0.0020446710102653013,4.38,0.0013928522960158377,3.94,3.3753627000142035,4.67,3.380772356619701,4.57,0.0021911392443918635,5.16,0.0013387985778841335,4.09,0.0015905189806381336
12,130,4.98,0.0019778175897704987,5.68,0.0020150910091942913,4.26,0.0019365846871905227,4.17,3.002788664610326,4.82,3.424180290184938,4.92,0.0023605776504803033,5.75,0.0021124224692307793,4.29,0.001789009535279417
13,140,5.33,0.0016063396534676778,6.11,0.0019893834543463764,4.34,0.001797831941023022,4.5,3.046210189063831,5.33,3.430222852751449,5.27,0.001788931822768485,6.03,0.0021947298233503483,4.39,0.0018700574761255418
14,150,5.78,0.0023217444758306155,7.14,0.0016228589705449181,4.72,0.0019823626357543134,4.94,3.5509091008432665,4.93,3.220540635934197,5.66,0.002212769294945431,6.48,0.0019704864796586227,4.64,0.0016673097454120267
15,160,6.11,0.002047663501053809,7.07,0.0019278800390539752,4.65,0.0019022307744510525,5.11,3.272931685041793,5.5,3.2700370775690915,6.02,0.0019527239006478792,6.98,0.002252581866446679,4.54,0.0017047476851305365
16,170,6.55,0.002184399260948154,7.65,0.00227308210233269,4.81,0.0016556483040139954,5.41,3.4451793606655663,5.27,3.429903578130155,6.52,0.001798988451369526,8.13,0.0020782707900071527,5.17,0.001177227726063091
17,180,7.0,0.0016858445569316494,8.34,0.0014521691978776334,4.99,0.0022277980560026834,5.98,3.467620086820445,6.11,3.4758996084014435,7.0,0.0016063325471329037,7.68,0.0016423466739223691,5.36,0.0019350680153257373
18,190,7.44,0.0021102287128644324,8.22,0.0022069269553027034,4.83,0.0009518129419234169,6.11,3.3054632484666,5.94,3.576970237044593,7.31,0.0023076844641579815,8.15,0.002417251123514132,4.85,0.0017035085808642723
19,200,7.71,0.002050779898722519,8.71,0.002187191136813693,5.18,0.0021255579683782957,6.48,3.013877059049946,5.71,3.505379544004738,7.69,0.0015280265745724363,8.54,0.0015436537973783882,5.22,0.001684395271129171
20,210,8.3,0.0017414324664958851,9.3,0.002016723523920584,5.15,0.0017446629067469997,6.85,3.3640574708001787,5.88,3.3252794876218505,8.06,0.0013477844070034907,8.95,0.001850566995782983,5.2,0.0014181216186401847
21,220,8.52,0.0017393720811035638,9.79,0.0021368208235906893,5.19,0.001625567065445606,7.18,3.6925144057864165,6.34,3.34621770162656,8.43,0.002171324938598315,10.01,0.0019260526280446349,5.92,0.0020742533003040267
22,230,9.04,0.0017836661187018799,10.1,0.0015988484054632471,5.29,0.0018085107176076412,7.57,3.7374231759036527,6.23,3.571118579440514,8.99,0.0017618908762562127,9.81,0.00219199068797149,5.5,0.0015278863418203986
23,240,9.35,0.0015061779677177183,10.41,0.001653128025754317,5.49,0.0021746754843512774,7.93,3.1460791827008565,6.6,3.4129501593817824,9.23,0.0016556323736924246,10.24,0.0017146720278011266,5.36,0.0025831810653602185
24,250,9.74,0.0018778115209589713,10.81,0.0019376160992899258,5.5,0.001753118047148604,8.17,3.3448599090198203,6.54,3.732027169181447,9.76,0.0014783009706972692,10.75,0.0018091422999405539,5.96,0.0015106845158847975
25,260,10.12,0.0021790587019548794,11.27,0.002193801101441015,6.11,0.002037278096568869,8.68,3.429494381700234,7.0,3.170120404542491,10.13,0.0015879990321111862,11.26,0.0017571283535210169,5.79,0.0024654835714297443
26,270,10.56,0.002077888761750611,12.04,0.0019208844340674997,5.79,0.0017553382747978114,9.04,3.3433059860887466,7.52,3.0702457254332893,10.64,0.002246510686687006,11.59,0.001415913856768851,6.28,0.0016766776364056804
27,280,10.87,0.0020944073305963215,12.21,0.0018101550318118521,5.95,0.0019088241785907162,9.19,3.305474832020299,6.93,3.3404563793485087,10.72,0.0020638520156348087,12.17,0.0015869177695020957,5.82,0.002011187537948438
28,290,11.18,0.001956849674477927,12.83,0.0019176879947846064,5.9,0.001776394812459277,9.49,3.4432042771106492,8.0,3.6111676092806637,11.13,0.0013489342490357653,12.47,0.0017384818893090622,6.5,0.0018452562999590769
29,300,11.91,0.0013089167752871529,13.62,0.0016251614458504568,7.07,0.001958492376255568,9.89,3.6464916042938413,7.42,3.4757269635691834,11.42,0.0019281435242700163,13.11,0.0017663946697083451,6.26,0.0017544012731330483
30,310,11.78,0.0023419796622222246,13.63,0.0013274234568553635,6.46,0.0018661993882662868,10.01,3.3179616006108743,7.84,3.4048854225598917,11.58,0.0018750712227812978,13.54,0.0018371536936651607,6.33,0.0012449977945921387
